
 0	1	0.10000000E+01 0.23512207E-01 0.17525472E-07 0.99927633E+00 0.95516670E+00
 1	1	0.10100000E+01 0.24930700E-01 0.18849276E-07 0.99921311E+00 0.95523334E+00
 2	1	0.10200000E+01 0.26548619E-01 0.20332803E-07 0.99914687E+00 0.95529997E+00
 3	1	0.10300000E+01 0.28152945E-01 0.21846833E-07 0.99907716E+00 0.95536667E+00
 4	1	0.10400000E+01 0.29870515E-01 0.23477345E-07 0.99900092E+00 0.95544446E+00
 5	1	0.10500000E+01 0.31703545E-01 0.25246011E-07 0.99892142E+00 0.95552224E+00
 6	1	0.10600000E+01 0.33288006E-01 0.26884747E-07 0.99883635E+00 0.95560002E+00
 7	1	0.10700000E+01 0.35370866E-01 0.28929771E-07 0.99874769E+00 0.95569998E+00
 8	1	0.10800000E+01 0.37353740E-01 0.30951230E-07 0.99865272E+00 0.95578891E+00
 9	1	0.10900000E+01 0.39293541E-01 0.33023004E-07 0.99855274E+00 0.95588887E+00
 10	1	0.11000000E+01 0.41414408E-01 0.35248311E-07 0.99844643E+00 0.95599997E+00
 11	1	0.11100000E+01 0.43543026E-01 0.37555524E-07 0.99833462E+00 0.95611113E+00
 12	1	0.11200000E+01 0.45852953E-01 0.40063198E-07 0.99821682E+00 0.95622224E+00
 13	1	0.11300000E+01 0.48436351E-01 0.42993557E-07 0.99809037E+00 0.95635557E+00
 14	1	0.11400000E+01 0.50700983E-01 0.45504427E-07 0.99796109E+00 0.95647776E+00
 15	1	0.11500000E+01 0.53191971E-01 0.48377779E-07 0.99782420E+00 0.95662224E+00
 16	1	0.11600000E+01 0.56142182E-01 0.51757859E-07 0.99767876E+00 0.95676666E+00
 17	1	0.11700000E+01 0.58793622E-01 0.54950261E-07 0.99752687E+00 0.95691109E+00
 18	1	0.11800000E+01 0.60972095E-01 0.57788242E-07 0.99736871E+00 0.95707780E+00
 19	1	0.11900000E+01 0.64373163E-01 0.61784223E-07 0.99720048E+00 0.95724446E+00
 20	1	0.12000000E+01 0.67260273E-01 0.65385326E-07 0.99702484E+00 0.95741111E+00
 21	1	0.12100000E+01 0.70041778E-01 0.69037560E-07 0.99684095E+00 0.95760000E+00
 22	1	0.12200000E+01 0.73602017E-01 0.73507507E-07 0.99664932E+00 0.95778888E+00
 23	1	0.12300000E+01 0.76210905E-01 0.77459521E-07 0.99645032E+00 0.95798886E+00
 24	1	0.12400000E+01 0.79425576E-01 0.81720650E-07 0.99624028E+00 0.95819998E+00
 25	1	0.12500000E+01 0.83198783E-01 0.86585824E-07 0.99601901E+00 0.95842224E+00
 26	1	0.12600000E+01 0.86323210E-01 0.91293013E-07 0.99579307E+00 0.95864445E+00
 27	1	0.12700000E+01 0.89510565E-01 0.96063515E-07 0.99555289E+00 0.95888889E+00
 28	1	0.12800000E+01 0.93052648E-01 0.10117724E-06 0.99530366E+00 0.95913333E+00
 29	1	0.12900000E+01 0.97961215E-01 0.10804604E-06 0.99504165E+00 0.95938891E+00
 30	1	0.13000000E+01 0.10052673E+00 0.11243609E-06 0.99477309E+00 0.95965558E+00
 31	1	0.13100000E+01 0.10454229E+00 0.11896535E-06 0.99448906E+00 0.95994443E+00
 32	1	0.13200000E+01 0.10856698E+00 0.12533609E-06 0.99419489E+00 0.96023333E+00
 33	1	0.13300000E+01 0.11264526E+00 0.13164484E-06 0.99389250E+00 0.96053332E+00
 34	1	0.13400000E+01 0.11684629E+00 0.13888650E-06 0.99357106E+00 0.96085554E+00
 35	1	0.13500000E+01 0.12088719E+00 0.14583977E-06 0.99324079E+00 0.96117777E+00
 36	1	0.13600000E+01 0.12571308E+00 0.15345060E-06 0.99289791E+00 0.96152222E+00
 37	1	0.13700000E+01 0.13056538E+00 0.16173190E-06 0.99254129E+00 0.96187776E+00
 38	1	0.13800000E+01 0.13468308E+00 0.16943731E-06 0.99216989E+00 0.96224445E+00
 39	1	0.13900000E+01 0.13975700E+00 0.17840235E-06 0.99178845E+00 0.96262223E+00
 40	1	0.14000000E+01 0.14259244E+00 0.18517823E-06 0.99138881E+00 0.96302223E+00
 41	1	0.14100000E+01 0.14750673E+00 0.19435650E-06 0.99096551E+00 0.96343333E+00
 42	1	0.14200000E+01 0.15361176E+00 0.20565659E-06 0.99054409E+00 0.96385556E+00
 43	1	0.14300000E+01 0.15875326E+00 0.21582375E-06 0.99009866E+00 0.96428889E+00
 44	1	0.14400000E+01 0.16300416E+00 0.22519489E-06 0.98963105E+00 0.96475554E+00
 45	1	0.14500000E+01 0.16906698E+00 0.23714727E-06 0.98916034E+00 0.96522224E+00
 46	1	0.14600000E+01 0.17418309E+00 0.24826176E-06 0.98866421E+00 0.96571112E+00
 47	1	0.14700000E+01 0.17962308E+00 0.26017168E-06 0.98815044E+00 0.96621108E+00
 48	1	0.14800000E+01 0.18437437E+00 0.27211571E-06 0.98761242E+00 0.96673334E+00
 49	1	0.14900000E+01 0.19018070E+00 0.28540379E-06 0.98706255E+00 0.96727777E+00
 50	1	0.15000000E+01 0.19766568E+00 0.30066406E-06 0.98649887E+00 0.96783334E+00
 51	1	0.15100000E+01 0.20292864E+00 0.31532354E-06 0.98590311E+00 0.96841109E+00
 52	1	0.15200000E+01 0.20863136E+00 0.32966077E-06 0.98529259E+00 0.96901113E+00
 53	1	0.15300000E+01 0.21670629E+00 0.34748421E-06 0.98467048E+00 0.96962219E+00
 54	1	0.15400000E+01 0.22304606E+00 0.36447542E-06 0.98401868E+00 0.97025555E+00
